Year,Team,FR TD,SFTY,INT TD
1999,Lions,3,1,1
1999,49ers,3,1,2
1999,Packers,2,1,1
1999,Titans,2,4,1
1999,Patriots,2,0,2
1999,Saints,2,0,0
1999,Steelers,2,0,0
1999,Chargers,2,1,0
1999,Bills,1,0,0
1999,Bears,1,0,1
1999,Cowboys,1,1,4
1999,Broncos,1,2,1
1999,Colts,1,0,1
1999,Jaguars,1,3,3
1999,Rams,1,1,7
1999,Raiders,1,0,1
1999,Dolphins,1,1,1
1999,Giants,1,0,2
1999,Jets,1,1,3
1999,Redskins,1,0,3
1999,Falcons,0,1,1
1999,Ravens,0,1,4
1999,Panthers,0,0,0
1999,Bengals,0,0,1
1999,Browns,0,0,0
1999,Vikings,0,1,1
1999,Eagles,0,2,5
1999,Cardinals,0,0,3
1999,Seahawks,0,0,2
1999,Buccaneers,0,1,2
2000,Falcons,0,1,1
2000,Ravens,0,1,1
2000,Bills,0,0,1
2000,Panthers,0,0,2
2000,Bears,0,0,4
2000,Bengals,0,1,1
2000,Browns,0,0,1
2000,Cowboys,0,1,0
2000,Broncos,0,1,5
2000,Lions,0,0,2
2000,Packers,0,1,1
2000,Titans,0,0,4
2000,Colts,0,2,2
2000,Jaguars,0,0,0
2000,Chiefs,0,0,2
2000,Rams,0,0,0
2000,Raiders,0,2,4
2000,Dolphins,0,1,0
2000,Vikings,0,0,0
2000,Patriots,0,0,0
2000,Saints,0,0,4
2000,Giants,0,0,0
2000,Jets,0,0,1
2000,Eagles,0,0,2
2000,Cardinals,0,0,0
2000,Steelers,0,1,0
2000,Chargers,0,1,4
2000,49ers,0,0,2
2000,Seahawks,0,1,3
2000,Buccaneers,0,1,4
2000,Redskins,0,1,0
2001,Falcons,0,0,0
2001,Ravens,0,0,1
2001,Bills,0,0,3
2001,Panthers,0,0,1
2001,Bears,0,0,3
2001,Bengals,0,0,1
2001,Browns,0,1,4
2001,Cowboys,0,0,3
2001,Broncos,0,0,1
2001,Lions,0,0,3
2001,Packers,0,1,2
2001,Titans,0,1,0
2001,Colts,0,0,1
2001,Jaguars,0,1,0
2001,Chiefs,0,1,1
2001,Rams,0,0,4
2001,Raiders,0,0,2
2001,Dolphins,0,0,5
2001,Vikings,0,0,1
2001,Patriots,0,0,5
2001,Saints,0,0,0
2001,Giants,0,0,1
2001,Jets,0,0,2
2001,Eagles,0,0,2
2001,Cardinals,0,0,3
2001,Steelers,0,0,2
2001,Chargers,0,0,1
2001,49ers,0,0,2
2001,Seahawks,0,0,2
2001,Buccaneers,0,0,2
2001,Redskins,0,0,1
2002,Falcons,0,0,1
2002,Ravens,0,0,2
2002,Bills,0,0,1
2002,Panthers,0,0,1
2002,Bears,0,0,0
2002,Bengals,0,0,2
2002,Browns,0,0,0
2002,Cowboys,0,0,3
2002,Broncos,0,0,2
2002,Lions,0,0,1
2002,Packers,0,0,4
2002,Titans,0,0,3
2002,Texans,0,2,2
2002,Colts,0,0,1
2002,Jaguars,0,1,0
2002,Chiefs,0,0,0
2002,Rams,0,0,0
2002,Raiders,0,0,3
2002,Dolphins,0,0,1
2002,Vikings,0,0,1
2002,Patriots,0,0,3
2002,Saints,0,0,1
2002,Giants,0,0,1
2002,Jets,0,0,0
2002,Eagles,0,0,2
2002,Cardinals,0,0,2
2002,Steelers,0,0,1
2002,Chargers,0,0,1
2002,49ers,0,0,1
2002,Seahawks,0,0,1
2002,Buccaneers,0,0,4
2002,Redskins,0,0,1
2003,Falcons,0,0,3
2003,Ravens,0,0,4
2003,Bills,0,1,2
2003,Panthers,0,0,3
2003,Bears,0,0,1
2003,Bengals,0,0,0
2003,Browns,0,0,1
2003,Cowboys,0,2,2
2003,Broncos,0,0,1
2003,Lions,0,0,1
2003,Packers,0,0,2
2003,Titans,0,1,3
2003,Texans,0,0,1
2003,Colts,0,0,2
2003,Jaguars,0,0,0
2003,Chiefs,0,0,3
2003,Rams,0,1,3
2003,Raiders,0,0,2
2003,Dolphins,0,1,2
2003,Vikings,0,0,4
2003,Patriots,0,0,5
2003,Saints,0,1,2
2003,Giants,0,0,2
2003,Jets,0,0,0
2003,Eagles,0,0,1
2003,Cardinals,0,0,1
2003,Steelers,0,0,2
2003,Chargers,0,0,1
2003,49ers,0,1,1
2003,Seahawks,0,1,0
2003,Buccaneers,0,0,3
2003,Redskins,0,1,0
2004,Falcons,0,0,4
2004,Ravens,0,0,5
2004,Bills,0,1,4
2004,Panthers,0,0,2
2004,Bears,0,1,5
2004,Bengals,0,0,4
2004,Browns,0,0,1
2004,Cowboys,0,0,0
2004,Broncos,0,0,2
2004,Lions,0,1,1
2004,Packers,0,0,2
2004,Titans,0,0,1
2004,Texans,0,0,2
2004,Colts,0,0,2
2004,Jaguars,0,2,0
2004,Chiefs,0,0,1
