PLAYER,SEASON,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Mike Gesicki,2021,77.0,879.0,12.5,50.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Mike Gesicki,2022,39.0,435.0,11.5,32.0,6.0,0.0,0.0,,,0.0,0.0,0.0
Mike Haffner,1968,12.0,232.0,17.1,52.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
Mike Haffner,1969,35.0,563.0,16.2,46.0,5.0,0.0,0.0,,,0.0,0.0,0.0
Mike Haffner,1970,12.0,196.0,16.1,28.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Mike Haffner,1971,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Hancock,1973,2.0,3.0,1.5,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Mike Hancock,1974,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Harmon,1983,1.0,4.0,4.0,4.0,0.0,0.0,0.0,,,0.0,3.0,1.0
Mike Hass,2007,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Hass,2009,2.0,20.0,10.0,18.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike Higgins,2011,4.0,49.0,10.5,27.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Higgins,2012,15.0,136.0,8.0,21.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Hinnant,1988,1.0,23.0,23.0,23.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Hinnant,1989,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Hinnant,1992,3.0,28.0,10.2,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Holston,1981,27.0,427.0,14.9,50.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Mike Holston,1982,5.0,116.0,22.3,38.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike Holston,1983,14.0,205.0,14.2,43.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Holston,1984,22.0,287.0,14.4,28.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike Holston,1985,12.0,152.0,13.8,25.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Jefferson,2008,6.0,69.0,11.5,24.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Kelly,1970,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Kelly,1971,1.0,9.0,9.0,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Kelly,1972,0.0,0.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0
Mike Kelly,1973,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Kinek,1940,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Landrum,1984,6.0,66.0,11.3,30.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Leach,2000,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Leach,2001,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Leach,2002,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Leach,2003,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Leach,2004,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Levenseller,1978,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Levenseller,1979,0.0,0.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0
Mike Levenseller,1980,2.0,30.0,15.0,22.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0
Mike Lucky,1999,5.0,25.0,4.4,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Lucky,2001,13.0,96.0,6.8,16.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike Lucky,2002,1.0,22.0,22.0,22.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike McCloskey,1983,16.0,137.0,7.7,20.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike McCloskey,1984,9.0,152.0,15.1,51.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike McCloskey,1985,4.0,29.0,7.2,24.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike McCloskey,1987,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike McNeill,2011,6.0,66.0,11.0,21.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike McNeill,2012,9.0,88.0,9.1,19.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike McNeill,2013,4.0,60.0,12.0,28.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Merritt,2008,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Miller,1983,7.0,170.0,28.2,54.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0
Mike Miller,1985,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Moffitt,1986,4.0,87.0,24.0,34.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Mosley,1982,9.0,96.0,8.6,31.0,0.0,0.0,0.0,,,0.0,3.0,0.0
Mike Mosley,1983,14.0,180.0,17.1,35.0,3.0,0.0,0.0,,,0.0,1.0,0.0
Mike Mosley,1984,4.0,38.0,8.0,17.0,0.0,0.0,0.0,,,0.0,0.0,0.0
