PLAYER,SEASON,FGBLK,FGLNG,FGATT,FGM,FGPCT,XPATT,XPM,XPPCT,XPBLK,KO,KOAVG,TB,RET,AVGRET
Graham Gano,2016,0.0,54.0,52.0,43.0,81.9,38.0,34.0,93.8,2.0,101.0,63.3,70.0,28.0,20.3
Graham Gano,2017,0.0,58.0,40.0,36.0,89.8,44.0,41.0,90.3,1.0,98.0,63.6,81.0,16.0,18.5
Graham Gano,2018,0.0,63.0,22.0,19.0,80.6,44.0,41.0,87.5,0.0,83.0,63.3,59.0,23.0,22.7
Graham Gano,2019,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Graham Gano,2020,0.0,55.0,32.0,31.0,97.6,23.0,21.0,89.7,0.0,73.0,59.4,30.0,40.0,21.8
Graham Gano,2021,0.0,55.0,34.0,29.0,85.0,19.0,19.0,100.0,0.0,68.0,61.1,28.0,38.0,18.4
Graham Gano,2022,1.0,57.0,36.0,33.0,94.3,42.0,40.0,95.2,1.0,98.0,61.0,58.0,35.0,28.1
Graham Gano,2023,1.0,57.0,23.0,17.0,70.8,13.0,13.0,100.0,0.0,42.0,64.6,32.0,10.0,25.1
Grant Guthrie,1970,1.0,52.0,19.0,10.0,50.0,25.0,24.0,95.8,1.0,49.0,0.0,3.0,0.0,
Grant Guthrie,1971,1.0,51.0,10.0,3.0,29.2,9.0,8.0,93.3,1.0,18.0,0.0,1.0,0.0,
Greg Davis,1987,0.0,42.0,4.0,3.0,83.3,6.0,6.0,100.0,0.0,12.0,50.4,2.0,8.0,15.7
Greg Davis,1988,5.0,52.0,30.0,19.0,56.0,27.0,25.0,90.4,1.0,59.0,57.8,8.0,47.0,20.3
Greg Davis,1989,2.0,52.0,68.0,46.0,70.0,56.0,50.0,88.7,0.0,128.0,57.5,10.0,112.0,17.8
Greg Davis,1990,0.0,53.0,33.0,22.0,65.0,40.0,40.0,100.0,0.0,77.0,56.8,24.0,48.0,17.0
Greg Davis,1991,1.0,52.0,30.0,21.0,58.8,19.0,19.0,100.0,0.0,56.0,58.5,11.0,42.0,22.3
Greg Davis,1992,1.0,49.0,26.0,13.0,54.2,28.0,28.0,100.0,0.0,52.0,61.0,12.0,37.0,19.0
Greg Davis,1993,2.0,55.0,28.0,21.0,77.5,37.0,37.0,100.0,0.0,72.0,61.7,15.0,51.0,19.1
Greg Davis,1994,0.0,51.0,26.0,20.0,72.6,17.0,17.0,100.0,0.0,52.0,58.9,3.0,44.0,23.3
Greg Davis,1995,1.0,55.0,39.0,30.0,72.9,19.0,19.0,100.0,0.0,70.0,60.1,1.0,65.0,23.2
Greg Davis,1996,1.0,49.0,14.0,9.0,64.6,12.0,12.0,100.0,0.0,31.0,60.4,2.0,26.0,20.7
Greg Davis,1997,6.0,45.0,68.0,52.0,75.0,64.0,62.0,97.2,2.0,150.0,60.8,4.0,136.0,26.4
Greg Davis,1998,0.0,51.0,27.0,17.0,68.1,31.0,31.0,100.0,0.0,25.0,48.5,0.0,21.0,24.8
Greg Joseph,2018,0.0,54.0,23.0,20.0,91.0,31.0,27.0,79.5,0.0,83.0,63.2,53.0,27.0,22.4
Greg Joseph,2019,0.0,43.0,3.0,2.0,66.7,21.0,20.0,92.9,0.0,30.0,62.5,13.0,17.0,21.9
Greg Joseph,2020,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Greg Joseph,2021,0.0,55.0,44.0,37.0,87.9,43.0,39.0,93.5,0.0,104.0,63.2,79.0,23.0,23.6
Greg Joseph,2022,2.0,61.0,38.0,31.0,80.7,53.0,47.0,89.8,0.0,104.0,63.3,63.0,40.0,26.8
Greg Joseph,2023,1.0,54.0,37.0,30.0,85.6,42.0,40.0,94.7,1.0,92.0,64.2,68.0,22.0,24.1
Greg Zuerlein,2012,0.0,60.0,37.0,28.0,76.5,33.0,33.0,100.0,0.0,82.0,68.1,41.0,41.0,26.6
Greg Zuerlein,2013,0.0,58.0,35.0,31.0,85.5,40.0,40.0,100.0,0.0,91.0,66.4,59.0,30.0,24.0
Greg Zuerlein,2014,1.0,56.0,41.0,31.0,69.4,43.0,42.0,97.1,0.0,88.0,66.8,44.0,44.0,26.6
Greg Zuerlein,2015,3.0,61.0,33.0,22.0,71.8,31.0,29.0,94.0,1.0,71.0,66.4,42.0,29.0,23.2
Greg Zuerlein,2016,0.0,54.0,26.0,23.0,91.0,28.0,28.0,100.0,0.0,72.0,64.5,45.0,26.0,30.4
Greg Zuerlein,2017,0.0,57.0,46.0,44.0,95.6,49.0,47.0,96.7,0.0,105.0,64.4,80.0,22.0,19.3
Greg Zuerlein,2018,0.0,57.0,44.0,37.0,83.7,44.0,43.0,99.0,0.0,98.0,64.9,71.0,27.0,25.4
Greg Zuerlein,2019,1.0,58.0,38.0,27.0,71.1,44.0,44.0,100.0,0.0,90.0,64.6,71.0,17.0,29.0
Greg Zuerlein,2020,0.0,59.0,41.0,34.0,84.4,36.0,33.0,92.9,2.0,90.0,61.9,60.0,27.0,22.1
Greg Zuerlein,2021,0.0,56.0,37.0,30.0,77.9,52.0,46.0,86.6,0.0,107.0,63.5,84.0,21.0,23.4
Greg Zuerlein,2022,0.0,60.0,39.0,32.0,84.2,37.0,36.0,93.3,0.0,59.0,64.2,48.0,11.0,23.8
Greg Zuerlein,2023,1.0,55.0,47.0,43.0,91.7,23.0,22.0,95.8,0.0,83.0,64.5,68.0,14.0,19.5
Hans Nielsen,1981,0.0,0.0,2.0,0.0,0.0,8.0,8.0,100.0,0.0,11.0,58.2,2.0,9.0,19.5
Happy Feller,1971,5.0,50.0,20.0,6.0,30.4,10.0,10.0,100.0,0.0,25.0,0.0,1.0,0.0,
Happy Feller,1972,2.0,46.0,11.0,6.0,50.0,11.0,10.0,91.7,1.0,24.0,0.0,1.0,0.0,
Happy Feller,1973,1.0,18.0,12.0,4.0,36.7,7.0,7.0,100.0,0.0,17.0,0.0,6.0,0.0,
Harold Deters,1967,0.0,12.0,4.0,1.0,33.3,10.0,9.0,83.3,1.0,0.0,,0.0,0.0,
Harrison Butker,2017,0.0,53.0,45.0,40.0,86.5,35.0,35.0,100.0,0.0,93.0,64.1,69.0,24.0,19.1
Harrison Butker,2018,0.0,54.0,38.0,35.0,94.7,85.0,81.0,96.4,1.0,145.0,64.1,81.0,60.0,22.6
Harrison Butker,2019,1.0,56.0,45.0,40.0,87.9,74.0,70.0,95.2,0.0,127.0,62.7,73.0,53.0,19.7
Harrison Butker,2020,0.0,58.0,35.0,32.0,90.1,61.0,54.0,84.4,1.0,112.0,64.4,84.0,26.0,23.3
Harrison Butker,2021,0.0,56.0,37.0,32.0,90.3,70.0,66.0,91.7,0.0,125.0,62.9,77.0,48.0,20.4
Harrison Butker,2022,1.0,62.0,34.0,26.0,72.6,57.0,54.0,90.8,0.0,99.0,64.0,58.0,41.0,23.0
Harrison Butker,2023,0.0,60.0,50.0,48.0,94.2,56.0,56.0,100.0,0.0,127.0,64.6,96.0,30.0,24.8
Hayden Epstein,2002,0.0,34.0,18.0,10.0,50.0,26.0,26.0,100.0,0.0,144.0,61.2,20.0,118.0,22.5
Herb Travenio,1964,0.0,17.0,5.0,2.0,33.4,12.0,10.0,77.8,0.0,16.0,0.0,0.0,0.0,
Herb Travenio,1965,4.0,40.0,32.0,18.0,52.4,40.0,40.0,100.0,0.0,73.0,4.0,6.0,0.0,
Horst Muhlmann,1969,2.0,50.0,24.0,16.0,66.7,33.0,32.0,97.6,1.0,64.0,0.0,25.0,0.0,
Horst Muhlmann,1970,3.0,53.0,38.0,25.0,62.1,33.0,33.0,100.0,0.0,74.0,2.9,41.0,0.0,
Horst Muhlmann,1971,1.0,51.0,36.0,20.0,59.6,31.0,31.0,100.0,0.0,65.0,0.0,26.0,0.0,
Horst Muhlmann,1972,3.0,51.0,40.0,27.0,66.6,31.0,30.0,95.8,1.0,71.0,0.0,28.0,0.0,
Horst Muhlmann,1973,0.0,51.0,34.0,24.0,76.7,33.0,32.0,97.8,0.0,74.0,3.7,30.0,0.0,
Horst Muhlmann,1974,3.0,47.0,18.0,11.0,58.3,35.0,32.0,93.6,2.0,35.0,0.0,2.0,0.0,
Horst Muhlmann,1975,4.0,51.0,29.0,20.0,71.8,24.0,21.0,90.3,1.0,58.0,0.0,6.0,0.0,
Horst Muhlmann,1976,1.0,44.0,16.0,11.0,63.0,19.0,18.0,91.7,1.0,44.0,0.0,1.0,0.0,
Horst Muhlmann,1977,2.0,44.0,8.0,3.0,60.0,19.0,17.0,87.5,1.0,31.0,0.0,0.0,0.0,
Ian Howfield,1991,0.0,46.0,18.0,13.0,68.5,29.0,25.0,88.9,0.0,53.0,62.0,11.0,41.0,17.3
Ian Sunter,1976,0.0,,0.0,0.0,,0.0,0.0,,0.0,11.0,0.0,1.0,0.0,
Ian Sunter,1980,0.0,42.0,20.0,11.0,50.8,15.0,15.0,100.0,0.0,36.0,0.0,1.0,0.0,
J R Jenkins,2002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,31.0,64.0,3.0,28.0,24.4
Jake Arians,2001,2.0,49.0,21.0,12.0,57.4,17.0,16.0,96.4,0.0,2.0,13.0,0.0,0.0,
Jake Elliott,2017,0.0,61.0,45.0,37.0,81.0,53.0,48.0,88.7,0.0,111.0,62.5,61.0,47.0,20.8
Jake Elliott,2018,0.0,56.0,34.0,28.0,81.0,42.0,39.0,94.7,0.0,100.0,63.4,66.0,33.0,21.5
Jake Elliott,2019,0.0,53.0,33.0,27.0,84.6,42.0,40.0,95.1,0.0,96.0,62.7,57.0,36.0,24.8
Jake Elliott,2020,0.0,54.0,19.0,14.0,73.1,26.0,24.0,89.3,0.0,73.0,61.7,46.0,24.0,22.6
Jake Elliott,2021,1.0,58.0,37.0,34.0,88.5,50.0,50.0,100.0,0.0,104.0,61.8,65.0,36.0,24.2
Jake Elliott,2022,1.0,56.0,28.0,25.0,88.2,72.0,70.0,97.6,0.0,121.0,64.8,80.0,41.0,25.9
Jake Elliott,2023,0.0,61.0,39.0,36.0,91.2,49.0,48.0,97.5,0.0,104.0,64.3,80.0,23.0,27.4
Jake Moody,2023,1.0,57.0,38.0,30.0,77.8,72.0,69.0,91.7,1.0,112.0,63.2,70.0,35.0,22.6
Jake Verity,2021,0.0,53.0,5.0,4.0,83.3,7.0,6.0,90.0,1.0,13.0,66.0,8.0,5.0,20.1
James Hamrick,1987,0.0,40.0,2.0,2.0,100.0,4.0,4.0,100.0,0.0,9.0,52.4,0.0,8.0,23.5
James McCourt,2022,0.0,54.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,7.0,65.2,5.0,2.0,26.0
James McCourt,2023,0.0,0.0,0.0,0.0,,4.0,3.0,75.0,0.0,7.0,65.8,2.0,5.0,29.3
James Tuthill,2001,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
James Tuthill,2002,4.0,53.0,32.0,20.0,53.1,42.0,40.0,96.7,0.0,90.0,63.9,6.0,84.0,24.2
Jan Stenerud,1967,4.0,54.0,36.0,21.0,59.1,45.0,45.0,100.0,0.0,86.0,0.0,31.0,0.0,
