PLAYER,SEASON,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
John Kidd,1996,78.0,3611.0,3023.0,63.0,46.1,38.6,0.0,4.0,8.0,26.0,11.0,7.0,48.0,368.0,0.0
John Kidd,1997,59.0,2509.0,2176.0,58.0,42.2,37.1,0.0,4.0,9.0,14.0,4.0,5.0,37.0,253.0,0.0
John Kidd,1998,100.0,4180.0,3630.0,57.0,41.6,37.4,0.0,6.0,22.0,24.0,4.0,14.0,54.0,470.0,0.0
John Misko,1982,46.0,1961.0,1520.0,59.0,43.8,34.2,1.0,8.0,2.0,10.0,2.0,2.0,31.0,401.0,1.0
John Misko,1983,96.0,3752.0,3189.0,67.0,39.3,33.8,1.0,12.0,10.0,20.0,12.0,15.0,46.0,323.0,0.0
John Misko,1984,78.0,3017.0,2616.0,58.0,38.6,33.7,0.0,2.0,7.0,21.0,9.0,22.0,38.0,221.0,0.0
John Misko,1987,6.0,242.0,219.0,51.0,40.3,36.5,0.0,0.0,1.0,1.0,0.0,1.0,4.0,23.0,0.0
John Nies,1990,5.0,174.0,137.0,39.0,34.8,27.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,0.0
John Seedborg,1965,8.0,247.0,245.0,49.0,35.3,35.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0
John Starnes,1987,6.0,203.0,184.0,49.0,33.8,30.7,0.0,2.0,1.0,2.0,0.0,0.0,3.0,19.0,0.0
John Teltschik,1986,109.0,4493.0,3662.0,62.0,41.4,33.7,1.0,7.0,16.0,20.0,10.0,13.0,62.0,631.0,2.0
John Teltschik,1987,83.0,3131.0,2652.0,60.0,38.8,33.1,1.0,6.0,11.0,13.0,4.0,14.0,47.0,399.0,0.0
John Teltschik,1988,105.0,4088.0,3553.0,70.0,39.6,34.7,3.0,7.0,14.0,30.0,8.0,27.0,46.0,375.0,0.0
John Teltschik,1989,57.0,2246.0,2011.0,58.0,38.8,35.0,0.0,1.0,10.0,12.0,3.0,14.0,29.0,175.0,0.0
John Warren,1983,39.0,1551.0,1248.0,54.0,39.8,31.2,0.0,3.0,5.0,7.0,1.0,6.0,24.0,283.0,0.0
John Warren,1984,21.0,799.0,692.0,48.0,37.6,32.9,0.0,1.0,2.0,3.0,3.0,2.0,13.0,47.0,0.0
Johnny Evans,1978,79.0,3089.0,2563.0,65.0,39.4,31.8,0.0,12.0,12.0,16.0,8.0,6.0,41.0,366.0,0.0
Johnny Evans,1979,71.0,2844.0,2289.0,59.0,41.2,33.8,2.0,4.0,9.0,7.0,9.0,2.0,45.0,375.0,0.0
Johnny Evans,1980,72.0,2767.0,2381.0,61.0,39.0,32.7,0.0,5.0,14.0,13.0,7.0,7.0,39.0,246.0,0.0
Johnny Hekker,2012,94.0,4322.0,3792.0,68.0,46.2,40.8,0.0,20.0,7.0,27.0,5.0,16.0,46.0,430.0,0.0
Johnny Hekker,2013,95.0,4446.0,4124.0,66.0,47.2,43.2,0.0,14.0,12.0,24.0,5.0,25.0,39.0,222.0,1.0
Johnny Hekker,2014,95.0,4407.0,4049.0,76.0,46.4,42.5,1.0,14.0,11.0,38.0,5.0,30.0,34.0,258.0,0.0
Johnny Hekker,2015,110.0,5201.0,4739.0,68.0,46.5,41.8,0.0,10.0,19.0,46.0,7.0,28.0,46.0,322.0,1.0
Johnny Hekker,2016,120.0,5697.0,5396.0,78.0,47.9,45.1,0.0,13.0,13.0,55.0,5.0,46.0,43.0,201.0,0.0
Johnny Hekker,2017,82.0,3876.0,3589.0,70.0,48.3,44.8,0.0,18.0,9.0,39.0,4.0,15.0,36.0,207.0,0.0
Johnny Hekker,2018,69.0,3122.0,2936.0,68.0,45.1,42.1,0.0,20.0,16.0,29.0,4.0,13.0,16.0,106.0,0.0
Johnny Hekker,2019,76.0,3561.0,3215.0,71.0,46.7,42.6,1.0,15.0,10.0,26.0,7.0,15.0,28.0,206.0,0.0
Johnny Hekker,2020,80.0,3618.0,3178.0,64.0,45.7,40.5,1.0,13.0,11.0,29.0,5.0,22.0,28.0,340.0,1.0
Johnny Hekker,2021,69.0,3055.0,2857.0,59.0,44.8,41.9,0.0,11.0,11.0,32.0,4.0,27.0,16.0,118.0,0.0
Johnny Hekker,2022,96.0,4651.0,4202.0,68.0,48.5,43.7,0.0,7.0,10.0,42.0,7.0,33.0,39.0,309.0,0.0
Johnny Hekker,2023,96.0,4499.0,4144.0,69.0,46.7,42.8,0.0,6.0,15.0,29.0,5.0,33.0,37.0,255.0,0.0
Johnny Townsend,2018,94.0,4040.0,3631.0,64.0,42.6,38.5,0.0,6.0,15.0,24.0,7.0,29.0,37.0,269.0,1.0
Johnny Townsend,2020,2.0,100.0,74.0,55.0,50.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0
Johnny Townsend,2021,16.0,673.0,575.0,63.0,43.6,37.4,0.0,2.0,0.0,3.0,2.0,7.0,5.0,58.0,0.0
Jon Kilgore,1965,24.0,999.0,871.0,56.0,41.4,36.4,0.0,2.0,4.0,0.0,0.0,4.0,14.0,128.0,0.0
Jon Kilgore,1966,71.0,3037.0,2688.0,58.0,42.1,37.6,0.0,6.0,5.0,0.0,4.0,7.0,49.0,269.0,0.0
Jon Kilgore,1967,76.0,3108.0,2704.0,68.0,41.9,37.1,2.0,2.0,17.0,2.0,6.0,11.0,36.0,284.0,0.0
Jon Kilgore,1968,37.0,1231.0,1130.0,50.0,34.8,32.5,2.0,4.0,4.0,0.0,0.0,7.0,18.0,101.0,0.0
Jon Kilgore,1969,36.0,1451.0,1327.0,72.0,40.9,37.1,0.0,2.0,8.0,0.0,1.0,5.0,20.0,104.0,0.0
Jon Ryan,2006,84.0,3739.0,2996.0,66.0,44.5,35.9,0.0,5.0,8.0,17.0,12.0,4.0,55.0,503.0,1.0
Jon Ryan,2007,71.0,2962.0,2585.0,72.0,44.1,37.7,2.0,11.0,8.0,21.0,12.0,15.0,23.0,137.0,0.0
