PLAYER,SEASON,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Pete Perini,1954,4.0,11.0,2.8,4.0,0.0,5.0,56.0,10.3,20.0,0.0,1.0,0.0
Pete Perini,1955,4.0,0.0,0.0,1.0,0.0,2.0,6.0,3.0,3.0,0.0,0.0,0.0
Pete Regnier,1921,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Regnier,1922,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Retzlaff,1956,0.0,0.0,,,0.0,12.0,159.0,13.9,20.0,0.0,0.0,0.0
Pete Retzlaff,1957,0.0,0.0,,,0.0,10.0,120.0,11.9,28.0,0.0,0.0,0.0
Pete Roth,1987,3.0,10.0,3.3,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Saumer,1934,110.0,408.0,2.8,0.0,2.0,2.0,12.0,6.0,6.0,0.0,0.0,0.0
Pete Schabarum,1951,76.0,311.0,4.2,67.0,2.0,10.0,162.0,14.9,47.0,0.0,4.0,0.0
Pete Schabarum,1953,18.0,104.0,5.6,23.0,0.0,10.0,96.0,9.9,31.0,0.0,1.0,0.0
Pete Schabarum,1954,21.0,79.0,4.0,16.0,1.0,4.0,70.0,20.0,42.0,0.0,0.0,0.0
Pete Schultz,1920,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Schultz,1922,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Steger,1921,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Stout,1949,62.0,245.0,3.5,74.0,4.0,8.0,102.0,16.2,39.0,2.0,3.0,0.0
Pete Stout,1950,9.0,53.0,3.1,19.0,0.0,2.0,15.0,7.5,8.0,0.0,0.0,0.0
Pete Tatman,1967,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Van Valkenburg,1973,2.0,20.0,10.0,12.0,0.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0
Pete Van Valkenburg,1974,0.0,0.0,,,0.0,0.0,0.0,,,0.0,2.0,0.0
Pete Wathen,1922,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Peter Rajkovich,1934,39.0,140.0,3.7,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Peter Tuipulotu,1992,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Peyton Barber,2016,94.0,322.0,3.0,44.0,1.0,12.0,83.0,7.2,14.0,0.0,1.0,0.0
Peyton Barber,2017,136.0,515.0,3.1,34.0,3.0,20.0,141.0,6.7,34.0,0.0,2.0,1.0
Peyton Barber,2018,249.0,958.0,4.0,28.0,7.0,23.0,94.0,3.9,10.0,1.0,1.0,1.0
Peyton Barber,2019,162.0,496.0,3.0,17.0,6.0,17.0,119.0,6.4,16.0,1.0,1.0,1.0
Peyton Barber,2020,94.0,258.0,3.0,15.0,4.0,4.0,12.0,3.8,7.0,0.0,0.0,0.0
Peyton Barber,2021,68.0,246.0,3.3,27.0,3.0,12.0,72.0,5.0,23.0,0.0,2.0,0.0
Peyton Hillis,2008,69.0,344.0,4.4,19.0,5.0,16.0,193.0,9.3,47.0,1.0,0.0,0.0
Peyton Hillis,2009,26.0,107.0,2.4,14.0,1.0,7.0,55.0,8.2,18.0,0.0,1.0,1.0
Peyton Hillis,2010,291.0,1257.0,3.9,48.0,12.0,70.0,563.0,7.5,47.0,2.0,8.0,5.0
Peyton Hillis,2011,169.0,621.0,3.7,24.0,4.0,25.0,173.0,9.7,52.0,0.0,2.0,1.0
Peyton Hillis,2012,102.0,406.0,3.5,28.0,2.0,11.0,73.0,6.9,15.0,1.0,2.0,2.0
Peyton Hillis,2013,222.0,788.0,3.7,27.0,4.0,26.0,192.0,6.3,16.0,0.0,6.0,2.0
Peyton Hillis,2014,44.0,191.0,4.3,16.0,1.0,11.0,83.0,4.9,26.0,0.0,0.0,0.0
Phil Bower,1921,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Phil Francis,1979,31.0,118.0,3.9,16.0,1.0,32.0,198.0,5.9,19.0,0.0,2.0,0.0
Phil Francis,1980,7.0,36.0,4.7,14.0,0.0,3.0,23.0,6.2,15.0,0.0,0.0,0.0
Phil Frye,1987,4.0,4.0,1.0,2.0,0.0,3.0,25.0,8.3,12.0,0.0,0.0,0.0
Phil King,1958,96.0,329.0,3.6,38.0,1.0,12.0,138.0,11.2,35.0,0.0,6.0,0.0
Phil King,1959,74.0,236.0,3.2,24.0,0.0,11.0,115.0,12.7,35.0,1.0,3.0,0.0
Phil King,1960,26.0,97.0,4.3,30.0,0.0,3.0,6.0,2.5,4.0,0.0,2.0,0.0
Phil King,1961,6.0,12.0,2.2,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Phil King,1962,119.0,498.0,4.2,20.0,2.0,17.0,200.0,10.0,37.0,0.0,4.0,1.0
Phil King,1963,170.0,652.0,3.7,50.0,3.0,32.0,377.0,13.5,46.0,5.0,4.0,0.0
Phil King,1964,26.0,71.0,2.7,12.0,1.0,4.0,32.0,6.0,13.0,1.0,0.0,0.0
Phil King,1965,72.0,356.0,5.3,21.0,0.0,12.0,96.0,7.4,25.0,1.0,3.0,0.0
Phil King,1966,17.0,40.0,2.2,12.0,0.0,2.0,24.0,12.0,18.0,1.0,0.0,0.0
Phil Slosburg,1948,32.0,89.0,4.4,16.0,0.0,2.0,29.0,14.5,16.0,0.0,2.0,0.0
Phil Slosburg,1949,37.0,121.0,3.4,23.0,1.0,4.0,11.0,0.1,9.0,0.0,2.0,0.0
Phil White,1925,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Phil White,1927,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Phillip Crosby,2001,0.0,0.0,,,0.0,2.0,16.0,8.0,9.0,0.0,0.0,0.0
Phillip Crosby,2002,0.0,0.0,,,0.0,4.0,33.0,8.7,11.0,0.0,0.0,0.0
Phillip Crosby,2003,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Phillip Lindsay,2018,205.0,1107.0,5.3,65.0,9.0,39.0,299.0,7.9,29.0,2.0,0.0,0.0
Phillip Lindsay,2019,228.0,1021.0,4.6,40.0,7.0,36.0,205.0,5.3,36.0,0.0,0.0,0.0
Phillip Lindsay,2020,118.0,502.0,4.4,55.0,1.0,7.0,28.0,5.0,11.0,0.0,0.0,0.0
