PLAYER,TOTAL,SOLO,AST,SCK,SFTY,PDEF,INT,YDS,AVG,LNG,TDS,FF,FR
Dennis Pete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Dennis Price,43.0,36.0,5.0,0.0,0.0,8.0,3.0,18.0,6.0,18.0,0.0,0.0,0.0
Dennis Randall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Dennis Remmert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Dennis Stallings,29.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Dennis Thurman,261.0,216.0,26.0,3.0,0.0,113.0,43.0,688.0,16.0,96.0,5.0,3.0,8.0
Dennis Weathersby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Dennis Winston,300.0,252.0,27.0,2.0,0.0,21.0,14.0,184.0,12.0,47.0,3.0,1.0,14.0
Dennis Wirgowski,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Dennis Woodberry,30.0,26.0,1.0,0.0,0.0,15.0,3.0,14.0,3.5,9.0,0.0,0.0,1.0
Dennit Morris,3.0,3.0,0.0,0.0,0.0,1.0,5.0,63.0,15.0,31.0,0.0,0.0,2.0
Denny Myers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Denorse Mosley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Denver Mills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Denzel Johnson,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Denzel Perryman,715.0,436.0,228.0,7.5,0.0,16.0,6.0,84.0,14.0,24.0,0.0,4.0,3.0
Denzel Rice,54.0,45.0,4.0,0.0,0.0,8.0,2.0,39.0,19.5,39.0,0.0,0.0,0.0
Denzel Ward,286.0,221.0,50.0,1.5,0.0,77.0,15.0,210.0,14.1,99.0,2.0,3.0,5.0
