PLAYER,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
John Jett,805.0,33951.0,28844.0,62.0,42.3,35.7,5.0,29.0,103.0,255.0,76.0,171.0,421.0,3587.0,3.0
John Kidd,1095.0,45286.0,38701.0,67.0,41.4,35.8,6.0,91.0,165.0,281.0,103.0,194.0,536.0,4525.0,4.0
John Misko,226.0,8972.0,7544.0,67.0,40.0,33.9,2.0,22.0,20.0,52.0,23.0,40.0,119.0,968.0,1.0
John Nies,5.0,174.0,137.0,39.0,34.8,27.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,0.0
John Seedborg,8.0,247.0,245.0,49.0,35.3,35.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0
John Starnes,6.0,203.0,184.0,49.0,33.8,30.7,0.0,2.0,1.0,2.0,0.0,0.0,3.0,19.0,0.0
John Teltschik,354.0,13958.0,11878.0,70.0,39.8,34.1,5.0,21.0,51.0,75.0,25.0,68.0,184.0,1580.0,2.0
John Warren,60.0,2350.0,1940.0,54.0,39.2,31.6,0.0,4.0,7.0,10.0,4.0,8.0,37.0,330.0,0.0
Johnny Evans,222.0,8700.0,7233.0,65.0,39.9,32.8,2.0,21.0,35.0,36.0,24.0,15.0,125.0,987.0,0.0
Johnny Hekker,1082.0,50455.0,46221.0,78.0,46.7,42.7,3.0,161.0,144.0,416.0,63.0,303.0,408.0,2974.0,3.0
Johnny Townsend,112.0,4813.0,4280.0,64.0,43.1,38.3,0.0,8.0,15.0,27.0,9.0,36.0,44.0,353.0,1.0
Jon Kilgore,244.0,9826.0,8720.0,72.0,40.7,36.5,4.0,16.0,38.0,2.0,11.0,34.0,137.0,886.0,0.0
Jon Ryan,1163.0,51799.0,44684.0,77.0,44.8,38.8,7.0,93.0,161.0,396.0,104.0,265.0,533.0,5035.0,9.0
Jordan Berry,583.0,26006.0,23312.0,79.0,44.9,40.4,2.0,68.0,83.0,220.0,27.0,178.0,225.0,2154.0,2.0
Jordan Stout,157.0,7389.0,6363.0,69.0,47.3,40.1,1.0,16.0,13.0,68.0,13.0,45.0,69.0,766.0,2.0
Joseph Charlton,85.0,3743.0,3391.0,67.0,45.0,40.7,1.0,5.0,11.0,34.0,5.0,34.0,29.0,252.0,1.0
Josh Bidwell,810.0,34473.0,29555.0,68.0,42.7,36.4,3.0,47.0,129.0,233.0,76.0,173.0,382.0,3398.0,3.0
Josh Miller,814.0,34710.0,29115.0,75.0,42.9,35.9,5.0,91.0,109.0,265.0,86.0,141.0,382.0,3875.0,6.0
Julian Fagan,304.0,12100.0,10343.0,71.0,40.5,34.7,5.0,20.0,34.0,0.0,19.0,65.0,156.0,1377.0,2.0
Justin Vogel,95.0,4252.0,3996.0,62.0,44.5,41.9,0.0,10.0,10.0,28.0,3.0,29.0,43.0,196.0,0.0
Kaare Vedvik,20.0,889.0,760.0,63.0,48.4,43.0,1.0,3.0,1.0,7.0,0.0,4.0,11.0,129.0,0.0
Kasey Redfern,51.0,2290.0,2036.0,62.0,44.4,40.0,0.0,2.0,3.0,17.0,3.0,13.0,30.0,194.0,0.0
Keith English,69.0,2663.0,2203.0,58.0,38.2,32.2,1.0,1.0,8.0,8.0,2.0,11.0,46.0,420.0,0.0
Kelly Goodburn,425.0,16584.0,13897.0,66.0,39.6,33.4,4.0,38.0,58.0,123.0,32.0,64.0,229.0,2047.0,1.0
Ken Duncan,6.0,216.0,189.0,47.0,36.4,32.1,0.0,1.0,1.0,0.0,1.0,1.0,2.0,7.0,0.0
Ken Hartley,9.0,266.0,225.0,41.0,28.0,25.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0
Ken Walter,568.0,22206.0,20065.0,66.0,39.3,35.7,5.0,28.0,116.0,173.0,32.0,169.0,218.0,1501.0,3.0
Kent Sullivan,39.0,1581.0,1448.0,59.0,39.4,35.0,0.0,0.0,5.0,11.0,2.0,15.0,17.0,93.0,0.0
Kevin Huber,1284.0,57658.0,51292.0,77.0,44.9,39.8,6.0,114.0,183.0,437.0,99.0,313.0,569.0,4386.0,7.0
Kevin Stemke,41.0,1597.0,1291.0,56.0,38.8,31.9,1.0,4.0,3.0,14.0,4.0,11.0,18.0,226.0,1.0
Klaus Wilmsmeyer,428.0,17505.0,14995.0,63.0,41.1,35.2,2.0,29.0,68.0,120.0,38.0,94.0,197.0,1750.0,1.0
Kyle Larson,413.0,17203.0,14795.0,75.0,42.1,36.1,3.0,32.0,55.0,115.0,33.0,65.0,225.0,1748.0,2.0
Kyle Richardson,648.0,26092.0,22344.0,67.0,40.9,35.0,12.0,51.0,93.0,199.0,65.0,141.0,286.0,2448.0,2.0
Lac Edwards,434.0,19835.0,17416.0,70.0,45.5,40.1,1.0,40.0,55.0,138.0,21.0,88.0,229.0,1999.0,3.0
Larry Seiple,75.0,3044.0,2654.0,60.0,40.6,35.1,0.0,9.0,14.0,0.0,7.0,17.0,28.0,250.0,0.0
Larry Steele,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larry Swider,299.0,12183.0,9732.0,72.0,41.2,32.7,4.0,26.0,20.0,45.0,33.0,32.0,184.0,1791.0,2.0
Lee Johnson,1422.0,59794.0,50080.0,76.0,42.2,35.2,6.0,180.0,188.0,371.0,154.0,217.0,677.0,6634.0,11.0
Leo Araguz,323.0,13731.0,11239.0,64.0,42.3,35.0,1.0,17.0,40.0,97.0,27.0,68.0,170.0,1952.0,2.0
Leroy Clark,10.0,335.0,273.0,47.0,33.5,27.3,0.0,0.0,2.0,0.0,0.0,1.0,7.0,62.0,0.0
Lewis Colbert,120.0,4800.0,4002.0,56.0,39.5,33.5,0.0,18.0,9.0,23.0,7.0,25.0,61.0,658.0,1.0
Logan Cooke,488.0,22781.0,20979.0,72.0,47.2,43.5,2.0,63.0,75.0,200.0,29.0,128.0,191.0,1222.0,0.0
Lou Hedley,86.0,3694.0,3444.0,62.0,42.8,39.9,0.0,13.0,9.0,35.0,4.0,26.0,34.0,170.0,0.0
Louie Aguiar,772.0,31752.0,27267.0,71.0,40.9,35.4,1.0,69.0,112.0,205.0,64.0,170.0,356.0,3205.0,2.0
Louis Berry,7.0,258.0,223.0,51.0,36.9,31.9,0.0,0.0,1.0,0.0,1.0,0.0,5.0,15.0,0.0
Luke Prestridge,697.0,29294.0,24339.0,89.0,42.5,35.2,0.0,87.0,52.0,152.0,57.0,90.0,411.0,3815.0,3.0
Mark Royals,1243.0,51998.0,42804.0,69.0,42.0,34.5,5.0,136.0,146.0,315.0,117.0,176.0,663.0,6854.0,9.0
Marquette King,559.0,26050.0,22881.0,72.0,47.2,41.4,3.0,55.0,90.0,201.0,46.0,116.0,249.0,2249.0,3.0
Marv Bateman,508.0,20500.0,16659.0,78.0,40.7,33.6,7.0,79.0,49.0,36.0,67.0,57.0,245.0,2501.0,3.0
Mat McBriar,704.0,31674.0,26737.0,75.0,45.6,38.8,5.0,62.0,63.0,242.0,73.0,142.0,359.0,3477.0,4.0
Matt Bosher,720.0,32337.0,28702.0,69.0,45.4,40.2,11.0,28.0,66.0,268.0,36.0,246.0,333.0,2915.0,4.0
Matt Darr,240.0,10874.0,9419.0,70.0,45.3,39.2,0.0,22.0,32.0,79.0,19.0,50.0,117.0,1075.0,0.0
Matt Dodge,98.0,4346.0,3438.0,74.0,45.9,36.3,2.0,13.0,11.0,23.0,11.0,8.0,53.0,688.0,2.0
Matt Haack,511.0,22750.0,20435.0,70.0,44.8,40.2,3.0,49.0,83.0,184.0,29.0,138.0,209.0,1735.0,2.0
Matt Kinzer,7.0,238.0,203.0,42.0,34.0,29.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,35.0,0.0
Matt Turk,1316.0,55511.0,48831.0,77.0,42.2,37.0,3.0,145.0,232.0,418.0,151.0,285.0,500.0,3660.0,5.0
Matt Wile,123.0,5507.0,5118.0,70.0,44.6,41.6,2.0,15.0,14.0,45.0,3.0,30.0,59.0,329.0,0.0
Maury Buford,621.0,25182.0,21440.0,71.0,41.6,35.4,10.0,97.0,89.0,143.0,73.0,72.0,280.0,2282.0,0.0
Max Runager,787.0,31112.0,26684.0,64.0,39.7,34.3,11.0,119.0,98.0,200.0,70.0,95.0,394.0,3028.0,1.0
Merritt Kersey,99.0,3448.0,3101.0,59.0,35.3,31.5,2.0,9.0,22.0,0.0,3.0,17.0,44.0,287.0,0.0
Micah Knorr,408.0,16552.0,13739.0,66.0,41.4,34.6,6.0,22.0,63.0,102.0,39.0,79.0,199.0,2033.0,1.0
Michael Dickson,536.0,25656.0,22908.0,73.0,47.9,43.1,1.0,58.0,71.0,216.0,50.0,111.0,245.0,1748.0,1.0
Michael Koenen,864.0,36677.0,32593.0,70.0,43.0,38.3,8.0,85.0,101.0,263.0,52.0,246.0,372.0,3044.0,2.0
Michael Palardy,433.0,19555.0,17330.0,75.0,45.4,40.1,1.0,31.0,53.0,151.0,32.0,122.0,194.0,1585.0,3.0
Mike Barr,60.0,2385.0,1901.0,61.0,40.5,31.7,1.0,6.0,8.0,15.0,5.0,12.0,28.0,384.0,1.0
Mike Bragg,1023.0,40331.0,35248.0,74.0,39.9,35.0,10.0,83.0,120.0,105.0,82.0,228.0,493.0,3443.0,6.0
Mike Burke,56.0,2135.0,1739.0,51.0,38.7,31.1,0.0,12.0,2.0,2.0,5.0,2.0,35.0,296.0,0.0
Mike Connell,255.0,9837.0,8342.0,59.0,38.6,32.7,1.0,18.0,26.0,39.0,20.0,42.0,148.0,1095.0,1.0
Mike Eischeid,577.0,23571.0,20688.0,72.0,41.3,36.4,5.0,61.0,64.0,20.0,40.0,82.0,321.0,2083.0,2.0
Mike Garrett,78.0,3071.0,2629.0,57.0,39.3,33.7,0.0,8.0,14.0,11.0,2.0,10.0,44.0,402.0,0.0
Mike Horan,1111.0,46450.0,39955.0,76.0,42.0,36.1,7.0,204.0,101.0,289.0,93.0,188.0,518.0,4635.0,6.0
Mike Hubach,82.0,3118.0,2706.0,69.0,36.7,32.5,0.0,10.0,14.0,14.0,4.0,14.0,40.0,332.0,0.0
Mike Michel,102.0,3719.0,3215.0,61.0,36.0,30.9,0.0,8.0,14.0,22.0,6.0,17.0,57.0,384.0,0.0
Mike Patrick,228.0,8613.0,6868.0,64.0,38.1,30.7,3.0,29.0,21.0,29.0,30.0,28.0,117.0,1145.0,1.0
Mike Saxon,851.0,35149.0,29571.0,67.0,42.0,35.3,8.0,85.0,105.0,249.0,90.0,127.0,436.0,3778.0,5.0
Mike Scifres,927.0,41500.0,35806.0,75.0,45.1,39.0,11.0,67.0,145.0,359.0,75.0,230.0,399.0,4194.0,4.0
Mike Wood,168.0,6038.0,4880.0,81.0,36.9,29.8,4.0,20.0,16.0,30.0,14.0,14.0,100.0,878.0,0.0
Mitch Berger,911.0,38879.0,32609.0,75.0,43.2,36.2,3.0,53.0,121.0,280.0,84.0,194.0,456.0,4590.0,5.0
Mitch Hoopes,195.0,7224.0,5558.0,57.0,38.5,28.9,7.0,28.0,13.0,21.0,24.0,16.0,106.0,1186.0,3.0
Mitch Wishnowsky,386.0,17648.0,15974.0,75.0,45.8,41.7,1.0,36.0,60.0,168.0,28.0,116.0,145.0,1114.0,0.0
Neil Clabo,271.0,10680.0,8531.0,69.0,39.3,31.8,2.0,32.0,30.0,31.0,34.0,11.0,160.0,1469.0,1.0
Nick Gallery,6.0,238.0,200.0,49.0,39.7,33.3,0.0,2.0,1.0,2.0,0.0,0.0,3.0,38.0,0.0
Nick Harris,1103.0,46453.0,38917.0,67.0,42.4,35.5,5.0,71.0,110.0,294.0,82.0,204.0,631.0,5896.0,11.0
Nick Murphy,51.0,2207.0,1878.0,58.0,44.2,37.3,0.0,4.0,7.0,15.0,6.0,7.0,27.0,209.0,0.0
Nolan Cooney,26.0,1245.0,1144.0,65.0,48.0,43.7,0.0,3.0,2.0,10.0,1.0,8.0,12.0,81.0,0.0
Pat McAfee,775.0,35966.0,30794.0,74.0,46.7,40.3,7.0,66.0,80.0,243.0,69.0,178.0,375.0,3792.0,10.0
Pat McInally,653.0,26992.0,22048.0,65.0,41.5,34.0,8.0,86.0,60.0,143.0,80.0,44.0,375.0,3344.0,2.0
Pat Studstill,81.0,3207.0,2921.0,58.0,38.7,35.2,0.0,5.0,12.0,0.0,4.0,30.0,30.0,206.0,1.0
Paul Ernster,130.0,5171.0,4687.0,61.0,39.8,35.4,0.0,20.0,23.0,38.0,9.0,26.0,52.0,304.0,0.0
Paul Maguire,101.0,4175.0,3514.0,61.0,41.7,35.8,1.0,8.0,20.0,0.0,7.0,19.0,45.0,521.0,1.0
Paul McJulien,145.0,5654.0,4699.0,67.0,39.5,33.1,2.0,14.0,24.0,35.0,14.0,36.0,55.0,675.0,3.0
Ralf Mojsiejenko,418.0,17533.0,14155.0,74.0,42.1,34.1,5.0,29.0,60.0,105.0,56.0,29.0,239.0,2258.0,2.0
Ralph Giacomarro,188.0,7592.0,6228.0,58.0,41.0,33.8,3.0,14.0,25.0,35.0,17.0,22.0,107.0,1024.0,3.0
Randy Walker,69.0,2648.0,2172.0,58.0,38.5,31.3,0.0,5.0,8.0,0.0,6.0,2.0,48.0,356.0,0.0
Ray Criswell,94.0,3523.0,3082.0,62.0,37.1,32.5,0.0,2.0,19.0,23.0,5.0,18.0,50.0,341.0,0.0
Ray Guy,1164.0,49198.0,40824.0,74.0,42.1,35.1,4.0,200.0,85.0,234.0,187.0,136.0,552.0,4634.0,4.0
Ray Stachowicz,290.0,11320.0,9118.0,72.0,39.8,32.1,8.0,32.0,34.0,48.0,22.0,20.0,174.0,1762.0,0.0
Reggie Hodges,486.0,19562.0,17145.0,61.0,40.6,35.5,7.0,44.0,75.0,139.0,29.0,128.0,203.0,1837.0,4.0
Reggie Roby,1045.0,44882.0,37765.0,77.0,43.5,36.6,6.0,85.0,129.0,315.0,116.0,209.0,499.0,4797.0,4.0
Rex Keeling,6.0,170.0,169.0,35.0,28.3,28.2,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0
Rich Camarillo,1069.0,45454.0,38350.0,76.0,42.8,36.4,7.0,117.0,99.0,284.0,114.0,154.0,578.0,4824.0,3.0
Richmond McGee,34.0,1451.0,1342.0,60.0,42.2,38.8,0.0,0.0,9.0,7.0,1.0,6.0,18.0,89.0,0.0
Rick Donnelly,379.0,15828.0,13253.0,71.0,42.1,35.3,3.0,26.0,36.0,92.0,37.0,73.0,204.0,1835.0,6.0
Rick Duncan,8.0,305.0,267.0,55.0,35.6,31.6,0.0,1.0,1.0,0.0,1.0,1.0,4.0,18.0,0.0
Rick Engles,148.0,5394.0,4381.0,55.0,38.5,31.2,7.0,16.0,17.0,22.0,8.0,11.0,89.0,853.0,2.0
Rick Partridge,143.0,5547.0,4720.0,61.0,39.7,34.0,3.0,15.0,18.0,28.0,12.0,15.0,80.0,587.0,0.0
Rick Tuten,760.0,32852.0,27561.0,73.0,43.0,36.0,2.0,53.0,87.0,191.0,67.0,149.0,402.0,3951.0,4.0
Rigoberto Sanchez,469.0,21322.0,19635.0,79.0,45.8,42.5,3.0,47.0,69.0,171.0,15.0,125.0,210.0,1387.0,0.0
Riley Dixon,701.0,31688.0,28581.0,71.0,45.8,41.6,7.0,65.0,113.0,235.0,46.0,174.0,296.0,2187.0,1.0
Robert Malone,203.0,8974.0,7716.0,84.0,45.1,38.6,2.0,24.0,22.0,60.0,18.0,47.0,90.0,898.0,2.0
Rodney Williams,91.0,3905.0,3224.0,90.0,43.3,35.7,0.0,20.0,11.0,25.0,8.0,9.0,43.0,521.0,1.0
Rohn Stark,1170.0,50322.0,41180.0,72.0,43.2,35.6,7.0,65.0,155.0,276.0,137.0,163.0,643.0,6402.0,9.0
Ron Widby,431.0,17818.0,15479.0,84.0,41.5,36.0,4.0,22.0,56.0,12.0,38.0,77.0,230.0,1579.0,1.0
Ruben Rodriguez,300.0,12122.0,10428.0,68.0,40.4,34.9,3.0,16.0,47.0,68.0,26.0,56.0,152.0,1174.0,1.0
Russ Griffith,11.0,386.0,329.0,51.0,35.4,29.8,0.0,0.0,1.0,1.0,0.0,3.0,7.0,57.0,0.0
Russell Erxleben,280.0,11381.0,9297.0,60.0,40.5,33.1,0.0,16.0,29.0,51.0,24.0,46.0,165.0,1604.0,3.0
Rusty Jackson,280.0,10509.0,8627.0,70.0,38.2,30.9,7.0,17.0,40.0,50.0,26.0,35.0,155.0,1362.0,2.0
Ryan Allen,622.0,27973.0,24766.0,67.0,45.0,39.6,3.0,70.0,99.0,226.0,47.0,122.0,281.0,2267.0,1.0
