PLAYER,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
Jim Root,108.0,249.0,1482.0,5.8,11.0,16.0,0.0,231.0,59.7,43.0,57.0,2.0,3.0,9.0,0.0
Jim Sorgi,130.0,206.0,1246.0,5.2,7.0,2.0,12.0,71.0,75.8,35.0,21.0,0.5,0.0,4.0,3.0
Jim Ward,13.0,26.0,165.0,6.9,2.0,2.0,3.0,27.0,76.6,5.0,23.0,5.2,0.0,1.0,0.0
Jim Youel,59.0,182.0,948.0,3.9,9.0,14.0,0.0,213.0,41.1,64.0,262.0,4.2,4.0,11.0,0.0
Jim Zorn,1683.0,3177.0,21249.0,6.7,113.0,143.0,214.0,1608.0,67.6,323.0,1506.0,4.6,17.0,54.0,9.0
Jimmy Clausen,471.0,847.0,4770.0,5.7,16.0,25.0,71.0,451.0,67.5,63.0,192.0,2.6,0.0,17.0,3.0
Jimmy Garoppolo,1594.0,2380.0,19134.0,7.8,111.0,63.0,164.0,1093.0,93.4,221.0,337.0,1.9,8.0,33.0,12.0
Jimmy German,6.0,12.0,97.0,6.6,1.0,2.0,0.0,0.0,66.3,17.0,58.0,2.2,2.0,0.0,0.0
Joe Barnes,2.0,9.0,29.0,3.2,0.0,1.0,3.0,30.0,0.9,1.0,19.0,19.0,0.0,0.0,0.0
Joe Burrow,1457.0,2147.0,15909.0,7.3,106.0,41.0,177.0,1237.0,97.3,209.0,706.0,3.1,11.0,22.0,10.0
Joe Callahan,82.0,134.0,738.0,5.2,3.0,0.0,16.0,127.0,77.8,20.0,64.0,3.4,0.0,6.0,0.0
Joe DiVito,1.0,6.0,16.0,1.6,0.0,0.0,2.0,30.0,40.0,1.0,-1.0,-1.0,0.0,1.0,0.0
Joe Dufek,74.0,150.0,829.0,5.5,4.0,8.0,10.0,86.0,53.5,9.0,22.0,2.1,1.0,1.0,1.0
Joe Ferguson,2427.0,4639.0,30631.0,6.4,202.0,218.0,317.0,2781.0,68.2,356.0,1216.0,3.5,11.0,83.0,11.0
Joe Flacco,4599.0,7486.0,50893.0,6.9,290.0,178.0,451.0,3166.0,86.0,454.0,1023.0,2.4,17.0,113.0,40.0
Joe Francis,20.0,49.0,266.0,4.1,2.0,3.0,0.0,69.0,55.6,26.0,158.0,5.1,1.0,3.0,0.0
Joe Gasparella,46.0,115.0,677.0,5.3,3.0,11.0,0.0,18.0,47.5,1.0,5.0,5.0,0.0,1.0,0.0
Joe Germaine,9.0,16.0,136.0,8.5,1.0,2.0,3.0,23.0,65.6,3.0,0.0,0.5,0.0,0.0,0.0
Joe Gilliam,147.0,333.0,2103.0,4.9,9.0,17.0,12.0,104.0,54.2,23.0,76.0,3.0,1.0,8.0,0.0
Joe Hamilton,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,,1.0,-2.0,-2.0,0.0,1.0,1.0
Joe Kapp,510.0,1019.0,6746.0,6.5,43.0,70.0,118.0,981.0,58.1,146.0,771.0,4.6,7.0,12.0,1.0
Joe McGlone,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Joe Montana,3869.0,6125.0,46323.0,7.6,318.0,160.0,359.0,2368.0,93.1,520.0,1990.0,3.9,22.0,61.0,29.0
Joe Namath,1936.0,3879.0,28299.0,7.4,176.0,224.0,156.0,1462.0,69.7,73.0,155.0,2.4,7.0,33.0,0.0
Joe Pisarcik,425.0,898.0,5552.0,8.1,24.0,48.0,112.0,845.0,65.6,65.0,147.0,2.0,5.0,15.0,4.0
Joe Reed,254.0,587.0,3141.0,5.3,20.0,38.0,66.0,470.0,53.2,100.0,591.0,5.7,2.0,14.0,0.0
Joe Setcavage,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,1.0,3.0,3.0,0.0,0.0,0.0
Joe Shield,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Joe Theismann,2172.0,3813.0,26988.0,7.2,171.0,145.0,366.0,2950.0,80.2,374.0,1910.0,5.4,17.0,45.0,12.0
Joe Webb,378.0,666.0,4332.0,6.7,24.0,20.0,46.0,313.0,81.0,147.0,1082.0,7.1,6.0,6.0,2.0
Joel Stave,32.0,60.0,365.0,10.4,1.0,1.0,6.0,50.0,79.2,10.0,-12.0,-1.2,0.0,2.0,1.0
Joey Harrington,1433.0,2553.0,14791.0,5.7,79.0,86.0,128.0,788.0,69.5,147.0,407.0,2.4,1.0,25.0,9.0
Joey Sternaman,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
John Beck,228.0,390.0,2602.0,7.1,7.0,10.0,41.0,245.0,77.7,41.0,96.0,2.3,3.0,14.0,6.0
John Borton,3.0,6.0,22.0,2.4,0.0,1.0,0.0,20.0,45.6,0.0,0.0,,0.0,0.0,0.0
John Brodie,2540.0,4634.0,32521.0,7.2,218.0,231.0,147.0,1888.0,74.6,237.0,1171.0,4.5,23.0,48.0,0.0
John Chickerneo,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
John David Booty,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
John Elway,4478.0,7901.0,56439.0,7.3,327.0,247.0,555.0,4103.0,80.4,868.0,3868.0,4.4,39.0,151.0,66.0
John Fourcade,164.0,331.0,2391.0,5.9,14.0,17.0,28.0,223.0,61.9,50.0,315.0,5.9,2.0,7.0,2.0
John Friesz,745.0,1364.0,8699.0,6.6,45.0,42.0,74.0,487.0,75.0,53.0,29.0,0.8,0.0,24.0,7.0
John Furman,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
John Hadl,2533.0,5053.0,35691.0,7.0,253.0,286.0,232.0,2009.0,68.7,382.0,1185.0,3.1,17.0,81.0,1.0
John Huarte,19.0,48.0,230.0,4.0,1.0,5.0,8.0,58.0,50.2,12.0,52.0,5.4,0.0,1.0,0.0
John Hufnagel,22.0,61.0,357.0,5.4,1.0,9.0,14.0,91.0,38.1,10.0,69.0,7.2,0.0,0.0,0.0
John Karrs,4.0,10.0,49.0,5.2,0.0,4.0,0.0,0.0,48.3,7.0,0.0,-0.1,0.0,0.0,0.0
John Ksionzyk,1.0,7.0,17.0,1.4,0.0,2.0,0.0,0.0,14.9,0.0,0.0,,0.0,0.0,0.0
John McCarthy,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
John McCormick,214.0,555.0,2895.0,4.9,17.0,38.0,2.0,45.0,41.7,10.0,-1.0,0.0,0.0,8.0,0.0
John Navarre,32.0,64.0,342.0,5.7,2.0,5.0,5.0,35.0,51.6,0.0,0.0,,0.0,1.0,0.0
John Paci,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
John Parker Wilson,84.0,148.0,696.0,4.6,1.0,4.0,10.0,70.0,65.3,15.0,34.0,1.8,0.0,4.0,3.0
John Patrick,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
John Paye,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
John Petchel,3.0,4.0,35.0,8.8,0.0,0.0,0.0,0.0,94.3,8.0,11.0,0.6,0.0,0.0,0.0
John Rauch,100.0,264.0,1247.0,5.1,9.0,13.0,0.0,299.0,52.0,19.0,110.0,7.2,1.0,5.0,0.0
John Reaves,286.0,616.0,3617.0,5.2,17.0,34.0,63.0,505.0,54.8,44.0,195.0,5.2,3.0,16.0,3.0
John Roach,182.0,413.0,2765.0,6.0,24.0,37.0,17.0,312.0,53.0,43.0,99.0,2.7,2.0,19.0,0.0
John Skelton,381.0,709.0,4553.0,6.7,20.0,28.0,53.0,359.0,71.8,45.0,179.0,3.1,0.0,12.0,4.0
John Stofa,160.0,335.0,1904.0,6.2,12.0,13.0,26.0,219.0,63.2,17.0,25.0,2.2,1.0,7.0,0.0
John Turley,12.0,27.0,144.0,4.6,1.0,6.0,0.0,0.0,52.3,4.0,-3.0,-0.2,0.0,0.0,0.0
John Walsh,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
John Walton,31.0,65.0,338.0,4.0,3.0,3.0,1.0,6.0,63.6,10.0,-4.0,-0.1,0.0,1.0,0.0
John Witkowski,13.0,35.0,210.0,5.6,0.0,0.0,11.0,74.0,61.2,8.0,33.0,4.8,0.0,2.0,2.0
John Wolford,117.0,197.0,1214.0,5.8,5.0,5.0,18.0,99.0,74.6,32.0,126.0,3.2,0.0,4.0,1.0
John Yurchey,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Johnny Clement,48.0,100.0,690.0,8.0,3.0,7.0,0.0,0.0,60.2,61.0,94.0,0.9,1.0,0.0,0.0
Johnny Gildea,51.0,181.0,964.0,4.8,5.0,34.0,0.0,0.0,38.2,134.0,99.0,0.3,1.0,0.0,0.0
Johnny Green,275.0,618.0,3921.0,5.9,26.0,34.0,0.0,0.0,57.5,52.0,79.0,0.8,6.0,15.0,0.0
