PLAYER,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Alan Cross,0.0,0.0,,,0.0,9.0,65.0,7.2,12.0,1.0,0.0,0.0
Alan Miller,386.0,1395.0,3.6,35.0,10.0,140.0,1470.0,10.7,71.0,11.0,11.0,0.0
Alan Reid,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alan Ricard,43.0,173.0,3.8,30.0,2.0,32.0,179.0,5.5,17.0,0.0,0.0,0.0
Albert Bentley,530.0,2364.0,4.5,70.0,20.0,230.0,2292.0,10.3,73.0,8.0,13.0,6.0
Albert Young,77.0,223.0,3.2,12.0,1.0,13.0,72.0,5.5,13.0,0.0,0.0,0.0
Alec Ingold,23.0,30.0,1.4,4.0,1.0,62.0,495.0,8.2,29.0,4.0,0.0,0.0
Alex Armah,33.0,78.0,2.3,9.0,3.0,17.0,105.0,6.7,20.0,2.0,0.0,0.0
Alex Burl,1.0,2.0,2.0,2.0,0.0,2.0,24.0,12.0,19.0,1.0,0.0,0.0
Alex Clement,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alex Collins,556.0,2281.0,4.3,50.0,21.0,81.0,632.0,7.4,37.0,1.0,11.0,8.0
Alex Gorgal,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alex Green,204.0,642.0,3.2,41.0,2.0,27.0,199.0,7.5,25.0,1.0,1.0,0.0
Alex Hawkins,208.0,787.0,3.4,39.0,10.0,85.0,1090.0,12.5,54.0,10.0,12.0,0.0
Alex Haynes,4.0,5.0,1.5,3.0,0.0,5.0,28.0,6.2,13.0,0.0,0.0,0.0
Alex Moore,4.0,22.0,5.5,10.0,0.0,3.0,35.0,12.8,16.0,0.0,1.0,0.0
Alex Rado,38.0,210.0,4.4,0.0,0.0,5.0,93.0,15.0,30.0,0.0,0.0,0.0
Alex Webster,1265.0,4858.0,3.6,71.0,41.0,255.0,2844.0,11.2,59.0,17.0,35.0,0.0
Alex Wizbicki,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alexander Mattison,621.0,2507.0,3.6,48.0,11.0,106.0,751.0,6.9,47.0,7.0,6.0,4.0
Alfonso Smith,164.0,533.0,3.0,22.0,6.0,33.0,247.0,7.7,21.0,0.0,2.0,1.0
Alfred Anderson,653.0,2475.0,3.6,29.0,24.0,125.0,1109.0,9.4,54.0,5.0,19.0,12.0
Alfred Blue,785.0,2866.0,3.6,49.0,13.0,80.0,531.0,6.2,28.0,2.0,5.0,2.0
Alfred Eissler,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alfred Morris,1621.0,7051.0,4.3,70.0,38.0,76.0,572.0,7.6,26.0,1.0,13.0,8.0
Allan Clark,28.0,140.0,5.2,19.0,3.0,2.0,35.0,17.5,20.0,0.0,2.0,0.0
Allan MacDonnell,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Allen Bradford,58.0,120.0,2.2,8.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0
Allen Carter,22.0,95.0,4.5,19.0,0.0,2.0,39.0,19.5,26.0,0.0,2.0,0.0
Allen Harvin,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Allen Jacobs,91.0,301.0,2.7,19.0,1.0,10.0,69.0,5.8,29.0,0.0,2.0,0.0
Allen Nichols,10.0,5.0,0.5,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Allen Patrick,15.0,39.0,3.4,8.0,0.0,3.0,31.0,6.8,25.0,0.0,0.0,0.0
Allen Pinkett,608.0,2537.0,4.0,60.0,22.0,129.0,1008.0,7.5,51.0,6.0,8.0,6.0
Allen Rice,370.0,1159.0,3.2,24.0,14.0,114.0,1185.0,9.4,38.0,6.0,12.0,7.0
Allen Williams,0.0,0.0,,,0.0,0.0,0.0,,,0.0,2.0,2.0
Alois Blackwell,9.0,37.0,3.4,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alonzo Coleman,7.0,6.0,1.8,5.0,0.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0
Alonzo Harris,25.0,104.0,4.3,25.0,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0
Alonzo Williams,2.0,9.0,4.5,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Altie Taylor,1179.0,4324.0,3.5,38.0,24.0,177.0,1545.0,7.9,64.0,6.0,34.0,1.0
Alvin Blount,46.0,125.0,2.8,15.0,3.0,1.0,5.0,5.0,5.0,0.0,1.0,1.0
Alvin Kamara,1434.0,6353.0,4.6,74.0,59.0,548.0,4602.0,8.6,54.0,24.0,11.0,6.0
Alvin Maxson,376.0,1306.0,2.7,66.0,6.0,98.0,630.0,6.6,34.0,1.0,22.0,0.0
