PLAYER,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Sebron Spivey,2.0,34.0,17.0,25.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Seth DeValve,73.0,870.0,11.8,49.0,4.0,0.0,0.0,,,0.0,1.0,1.0
Seth Green,4.0,40.0,11.2,24.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Seth Roberts,210.0,2498.0,12.0,44.0,16.0,5.0,11.0,2.2,11.0,0.0,3.0,2.0
Seyi Ajirotutu,49.0,761.0,15.2,56.0,4.0,0.0,0.0,,,0.0,0.0,0.0
Shad Meier,42.0,334.0,8.9,29.0,3.0,0.0,0.0,,,0.0,2.0,2.0
Shakeir Ryan,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Shane Garrett,3.0,32.0,10.2,13.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Shane Smith,1.0,9.0,9.0,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Shane Swanson,6.0,87.0,14.5,35.0,1.0,0.0,0.0,,,0.0,1.0,0.0
Shane Wynn,21.0,224.0,11.9,27.0,2.0,4.0,4.0,0.5,7.0,0.0,0.0,0.0
Shane Zylstra,21.0,132.0,6.0,16.0,4.0,0.0,0.0,,,0.0,0.0,0.0
Shannon Baker,2.0,15.0,7.5,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Shannon Mitchell,26.0,226.0,8.0,36.0,1.0,0.0,0.0,,,0.0,1.0,0.0
Shannon Sharpe,877.0,10874.0,13.2,96.0,66.0,3.0,9.0,3.0,15.0,0.0,8.0,5.0
Shaq Evans,3.0,54.0,18.0,25.0,1.0,0.0,0.0,,,0.0,0.0,0.0
